Date,Open,High,Low,Close,Volume
9/11/2019,229.5,231.5,229,230,3588
9/12/2019,233,234,231,231,3088
9/16/2019,231,231.5,228,231.5,2756
9/17/2019,236,242,233.5,233.5,10023
9/18/2019,234,236,232.5,232.5,3659
9/19/2019,233.5,234.5,232,232,2217
9/20/2019,234,236.5,231.5,233.5,5642
9/23/2019,233,235,232.5,233,2495
9/24/2019,234,234.5,231.5,231.5,2475
9/25/2019,230.5,231,227.5,229.5,3183
9/26/2019,232.5,242,232.5,238.5,20186
9/27/2019,245,247,240.5,246.5,18197
10/1/2019,252,270,252,268,27959
10/2/2019,265,271,264,269,13660
10/3/2019,265,269.5,264,265.5,9668
10/4/2019,269.5,270.5,260.5,261,11935
10/7/2019,271,276,268.5,276,17333
10/8/2019,281,298.5,277.5,298.5,31371
10/9/2019,295.5,305,292,301.5,21959
10/14/2019,310,317,305,314.5,17603
10/15/2019,314,315.5,305.5,306,13762
10/16/2019,309,311.5,295.5,302,14626
10/17/2019,302.5,311,299,310.5,9407
10/18/2019,313.5,313.5,308.5,312.5,11459
10/21/2019,313.5,323,313.5,313.5,16465
10/22/2019,316.5,318.5,311.5,311.5,8081
10/23/2019,314,316,306.5,312.5,9548
10/24/2019,318,321.5,316.5,317,11719
10/25/2019,320,321,314,316,8116
10/28/2019,318,319.5,315.5,316.5,4301
10/29/2019,317,321.5,316,318,9012
10/30/2019,320,322.5,318,320.5,9161
10/31/2019,323,324.5,313.5,314,9425
11/1/2019,312,316,303,316,15085
11/4/2019,320,321.5,312.5,312.5,8165
11/5/2019,314.5,316,311.5,312,6241
11/6/2019,312,315.5,307,307,7548
11/7/2019,306,311.5,303.5,306,8440
11/8/2019,309,311.5,306,307,6915
11/11/2019,302.5,302.5,280,282.5,19082
11/12/2019,282.5,282.5,282.5,282.5,0
11/13/2019,310.5,310.5,310.5,310.5,5281
11/14/2019,334,334,324.5,326.5,30856
11/15/2019,327,329.5,321,321,9827
11/18/2019,321.5,324,317.5,317.5,6656
11/19/2019,319,324,318,323.5,8466
11/20/2019,324.5,324.5,318,320,5244
11/21/2019,313,321.5,313,318.5,6221
11/22/2019,316.5,320.5,316,317,3789
11/25/2019,319.5,323.5,317,322.5,7473
11/26/2019,329.5,331.5,326.5,326.5,12740
11/27/2019,328.5,336.5,328,336.5,12342
11/28/2019,337,339,333.5,335,7212
11/29/2019,337,338.5,329,330,6434
12/2/2019,333.5,338,328,338,10937
12/3/2019,335.5,368,335,363,24931
12/4/2019,364.5,375,358,361,26103
12/5/2019,366,369,360,362,10111
12/6/2019,366,369.5,361,369,8974
12/9/2019,376,381,372.5,372.5,14843
12/10/2019,372.5,374,366.5,368,7475
12/11/2019,369.5,379.5,369,378.5,12986
12/12/2019,378.5,382.5,374,381.5,13242
12/13/2019,385,389.5,376.5,376.5,11316
12/16/2019,377,381.5,374,379,7334
12/17/2019,381,381.5,376,377,5782
12/18/2019,376,383.5,374,376.5,8642
12/19/2019,381,384.5,378.5,383,9384
12/20/2019,394.5,404,389.5,389.5,24204
12/23/2019,388,390,383,383,9065
12/24/2019,390,398,388,395,15462
12/25/2019,395,404,395,403.5,12243
12/26/2019,408,412.5,401.5,402,12139
12/27/2019,406,411,403,411,8107
12/30/2019,419,437,417,436,16248
12/31/2019,433,445,430,437,16021
1/2/2020,443,444.5,432.5,436,8548
1/3/2020,454.5,475,447.5,468,28118
1/6/2020,468,470.5,458.5,460,12740
1/7/2020,416,435,414,414,21192
1/8/2020,388,406,381,387,35163
1/9/2020,397,402,390,392,14140
1/10/2020,397,402.5,390.5,392.5,9523
1/13/2020,396,398,383,390,9042
1/14/2020,400.5,419,397.5,419,17957
1/15/2020,425,427.5,411.5,413,14049
1/16/2020,418.5,427,415.5,417,9812
1/17/2020,424,425.5,413,413,7288
1/20/2020,417,418.5,414.5,415.5,4665
1/30/2020,380,393.5,374,374,16309
1/31/2020,382.5,389.5,377.5,386.5,13467
2/3/2020,373.5,392,367,392,15756
2/4/2020,402,423,399,418.5,17514
2/5/2020,425.5,426,410,413,14773
2/6/2020,422,426.5,416,417,9846
2/7/2020,419.5,421.5,414,416.5,9884
2/10/2020,416.5,422.5,409.5,418.5,11237
2/11/2020,429.5,442,429,437,17162
2/12/2020,447,449,440,448,12732
2/13/2020,453,455,437.5,439,10823
2/14/2020,445,457,438.5,457,14994
2/17/2020,454.5,460,448,453,10235
2/18/2020,469.5,471.5,450,450,20988
2/19/2020,454,460,441,460,16209
2/20/2020,463,466,457.5,457.5,10709
2/21/2020,464.5,473.5,460.5,472,17354
2/24/2020,468,484.5,464,484.5,15141
2/25/2020,478,498,475.5,485,24217
2/26/2020,476,482.5,437,441,33457
2/27/2020,441,449,410,410,33187
3/2/2020,406,426,398,418.5,27123
3/3/2020,434,436.5,416.5,417,17748
3/4/2020,419,419,398.5,400.5,23244
3/5/2020,408,412,401.5,410.5,15313
3/6/2020,404,409,401.5,406.5,11601
3/9/2020,398,402.5,383.5,386,18877
3/10/2020,373.5,394.5,373.5,394.5,20610
3/11/2020,396,403.5,378,383.5,17098
3/12/2020,381,381,345.5,345.5,27805
3/13/2020,313,326.5,311,320,24783
3/16/2020,320,330.5,290.5,290.5,25494
3/17/2020,276,296,262,265,38827
3/18/2020,273,275,250,254.5,27465
